Firm_ID;BenefitProgramPeriod;TotalSpent;AvgSpentOnTransaction;TotalPurchases
81054;After;493802,00;246901,00;2
81054;Before;772373,00;110339,00;7
309637;After;5903724,00;140564,8571;42
309637;Before;82562,00;82562,00;1
384037;After;282732,00;56546,40;5
384037;Before;813647,00;90405,2222;9
542163;After;5680866,00;157801,8333;36
542163;Before;1377186,00;76510,3333;18
794554;After;1281792,00;71210,6666;18
794554;Before;845496,00;845496,00;1
988343;After;1020626,00;113402,8888;9
988343;Before;73793,00;36896,50;2
1129496;After;1923768,00;320628,00;6
1148039;After;5559197,00;347449,8125;16
1229932;After;379441,00;75888,20;5
1229932;Before;26611,00;26611,00;1
1356340;After;2355909,00;130883,8333;18
1356340;Before;1353965,00;451321,6666;3
1356662;After;3134042,00;136262,6956;23
1356662;Before;879229,00;73269,0833;12
1639959;After;557199,00;46433,25;12
1639959;Before;19000499,00;1117676,4117;17
1663687;After;1451853,00;181481,625;8
1663687;Before;205454,00;68484,6666;3
1675655;After;1395841,00;465280,3333;3
1675655;Before;2897686,00;2897686,00;1
1736389;After;1429846,00;102131,8571;14
1736389;Before;2013815,00;402763,00;5
1754970;After;1249982,00;138886,8888;9
1754970;Before;2596771,00;236070,0909;11
1853962;After;2530053,00;60239,3571;42
1853962;Before;278990,00;55798,00;5
1891519;After;3673026,00;193317,1578;19
1891519;Before;588595,00;196198,3333;3
1903249;After;943638,00;235909,50;4
1903249;Before;122727,00;61363,50;2
1932658;Before;11570,00;11570,00;1
2026275;After;225174,00;112587,00;2
2026275;Before;1240243,00;88588,7857;14
2070435;After;3812860,00;127095,3333;30
2121573;After;2660330,00;64886,0975;41
2121573;Before;56033,00;56033,00;1
2180905;After;3454979,00;78522,25;44
2204999;After;1162668,00;77511,20;15
2257762;After;300508,00;150254,00;2
2257762;Before;98237,00;49118,50;2
2590739;After;1075225,00;53761,25;20
2590739;Before;105226,00;35075,3333;3
2943291;After;2389350,00;30632,6923;78
2980756;After;2478388,00;225308,00;11
2997682;After;993884,00;70991,7142;14
2997682;Before;1597848,00;99865,50;16
3070409;After;2068694,00;79565,1538;26
3070409;Before;2612892,00;373270,2857;7
3125083;After;90834,00;90834,00;1
3125083;Before;362114,00;120704,6666;3
3336442;After;1030965,00;79305,00;13
3336442;Before;1317770,00;188252,8571;7
3368195;After;5515919,00;108155,2745;51
3411406;After;129451,00;64725,50;2
3411406;Before;3892511,00;216250,6111;18
3470118;After;199370,00;33228,3333;6
3470118;Before;112583,00;28145,75;4
3551194;After;324379,00;108126,3333;3
3623374;After;942690,00;85699,0909;11
3623374;Before;835020,00;69585,00;12
3663861;After;1096420,00;84340,00;13
3704338;After;3248265,00;203016,5625;16
3704338;Before;1527920,00;509306,6666;3
3823721;After;229296,00;114648,00;2
3823721;Before;596513,00;198837,6666;3
3853346;After;1965639,00;122852,4375;16
3853346;Before;1368443,00;124403,909;11
3894384;After;1423383,00;74914,8947;19
3894384;Before;198161,00;198161,00;1
3912706;After;2960135,00;92504,2187;32
3912706;Before;3990412,00;266027,4666;15
3926668;After;1855873,00;97677,5263;19
4013174;After;13502661,00;293536,1086;46
4013174;Before;351236,00;175618,00;2
4017189;After;1855299,00;103072,1666;18
4017189;Before;365062,00;52151,7142;7
4123395;After;749994,00;57691,8461;13
4123395;Before;1759993,00;135384,0769;13
4126663;After;620623,00;88660,4285;7
4126663;Before;441750,00;73625,00;6
4130188;After;51901,00;51901,00;1
4130188;Before;1705953,00;426488,25;4
4162627;After;298859,00;74714,75;4
4177914;After;2042769,00;81710,76;25
4177914;Before;340732,00;340732,00;1
4241936;After;150248,00;75124,00;2
4241936;Before;775896,00;258632,00;3
4332250;After;771521,00;48220,0625;16
4377834;After;-109415,00;-5210,238;21
4377834;Before;94793,00;94793,00;1
4384551;After;911527,00;227881,75;4
4384551;Before;500278,00;83379,6666;6
4418220;After;1740449,00;248635,5714;7
4418220;Before;2277273,00;455454,60;5
4431272;After;1754564,00;292427,3333;6
4431272;Before;402963,00;100740,75;4
4582425;After;99629,00;49814,50;2
4582425;Before;36694,00;36694,00;1
4723166;After;2214234,00;184519,50;12
4723166;Before;1569568,00;196196,00;8
4769917;After;478917,00;59864,625;8
4769917;Before;604656,00;120931,20;5
4802323;After;2696242,00;149791,2222;18
4802323;Before;605136,00;605136,00;1
4837074;After;1663070,00;138589,1666;12
4837074;Before;922642,00;115330,25;8
4902535;After;2127768,00;101322,2857;21
4949939;After;2091418,00;110074,6315;19
4949939;Before;2571690,00;257169,00;10
5021152;After;114132,00;28533,00;4
5345569;After;789376,00;131562,6666;6
5434176;After;3071156,00;255929,6666;12
5434176;Before;499670,00;249835,00;2
5452706;After;2029468,00;156112,923;13
5489612;After;1362399,00;64876,1428;21
5489612;Before;1133798,00;226759,60;5
5682172;After;149395,00;149395,00;1
6111515;After;1377304,00;172163,00;8
6111515;Before;1186626,00;395542,00;3
6177468;After;1008777,00;53093,5263;19
6177468;Before;151041,00;151041,00;1
6196878;After;2452162,00;116769,619;21
6196878;Before;598760,00;149690,00;4
6474971;After;2630432,00;79710,0606;33
6546931;After;954896,00;26524,8888;36
6546931;Before;293511,00;48918,50;6
6697347;After;3075492,00;93196,7272;33
6697347;Before;1802835,00;225354,375;8
6754238;After;922564,00;461282,00;2
6754238;Before;871412,00;58094,1333;15
6784272;After;1560843,00;47298,2727;33
6784272;Before;100330,00;100330,00;1
6886205;After;5121848,00;232811,2727;22
6886205;Before;775950,00;775950,00;1
6975704;After;3169113,00;137787,5217;23
6975704;Before;28446,00;28446,00;1
6991157;After;1239098,00;95315,2307;13
6991157;Before;3592437,00;359243,70;10
7039085;After;3205589,00;76323,5476;42
7039085;Before;596240,00;85177,1428;7
7045093;After;443441,00;110860,25;4
7158909;After;230561,00;38426,8333;6
7158909;Before;137272,00;68636,00;2
7364095;After;748730,00;35653,8095;21
7364095;Before;1123351,00;70209,4375;16
7643928;After;670024,00;60911,2727;11
7734938;After;68760,00;13752,00;5
7734938;Before;738985,00;82109,4444;9
7989038;After;3581519,00;325592,6363;11
7989038;Before;774568,00;258189,3333;3
8421560;After;5215766,00;193176,5185;27
8641421;After;2414671,00;150916,9375;16
8641421;Before;338677,00;169338,50;2
8661656;After;79669,00;79669,00;1
8661656;Before;649669,00;324834,50;2
8777870;After;488449,00;81408,1666;6
8777870;Before;108762,00;54381,00;2
8843277;After;2848521,00;178032,5625;16
8843277;Before;934520,00;233630,00;4
9036994;After;166689,00;55563,00;3
9036994;Before;1410330,00;201475,7142;7
9119723;After;515113,00;34340,8666;15
9119723;Before;270014,00;45002,3333;6
9321324;After;1509908,00;36827,0243;41
9502188;After;1612149,00;537383,00;3
9502188;Before;10578,00;10578,00;1
9634409;After;562215,00;112443,00;5
9634409;Before;28016,00;28016,00;1
9759237;After;283216,00;47202,6666;6
9759237;Before;464228,00;77371,3333;6
9924919;After;565979,00;62886,5555;9
9924919;Before;537108,00;134277,00;4
9944518;After;393383,00;196691,50;2
10018187;After;681236,00;75692,8888;9
10018187;Before;1724447,00;246349,5714;7
10229858;After;270919,00;45153,1666;6
10512917;After;2265879,00;66643,50;34
10944193;After;2406798,00;185138,3076;13
10997020;After;813314,00;406657,00;2
11332328;After;2797261,00;279726,10;10
11332328;Before;181916,00;60638,6666;3
11599274;After;1060241,00;62367,1176;17
11599274;Before;737222,00;92152,75;8
12154787;After;312976,00;44710,8571;7
12951263;After;771379,00;64281,5833;12
12951263;Before;11884,00;11884,00;1
13024003;After;3638712,00;101075,3333;36
13024003;Before;1200140,00;109103,6363;11
13529211;After;4443400,00;153220,6896;29
13529211;Before;805061,00;201265,25;4
13634926;After;363102,00;90775,50;4
14180313;After;1889481,00;209942,3333;9
14180313;Before;309407,00;61881,40;5
14189202;After;8426701,00;561780,0666;15
14189202;Before;1989844,00;132656,2666;15
14371924;After;478444,00;95688,80;5
15069347;After;491110,00;49111,00;10
15069347;Before;579817,00;115963,40;5
15302133;After;967164,00;53731,3333;18
15302133;Before;6008589,00;286123,2857;21
15658258;After;81913,00;27304,3333;3
15658258;Before;221322,00;221322,00;1
16132424;After;750123,00;68193,00;11
16132424;Before;295606,00;59121,20;5
16701905;After;956010,00;43455,00;22
16701905;Before;119670,00;59835,00;2
16958946;After;120743,00;30185,75;4
16958946;Before;1956147,00;489036,75;4
17040406;After;134900,00;44966,6666;3
17040406;Before;61818,00;61818,00;1
17489673;After;2231607,00;111580,35;20
18090312;After;1057386,00;528693,00;2
18503766;After;1042962,00;43456,75;24
18535992;After;294086,00;42012,2857;7
18535992;Before;398595,00;39859,50;10
18754425;After;445333,00;63619,00;7
18754425;Before;350742,00;116914,00;3
18871771;After;2227347,00;278418,375;8
18993738;After;404463,00;202231,50;2
18993738;Before;1421256,00;1421256,00;1
19090910;After;5997618,00;149940,45;40
19090910;Before;2296494,00;765498,00;3
19450752;After;201677,00;40335,40;5
19819512;After;32975,00;32975,00;1
19920025;After;1069256,00;1069256,00;1
20330998;After;12314,00;12314,00;1
20330998;Before;552663,00;110532,60;5
